KCMO or Not,Census Tract,East-West Coordinate,North-South Coordinate,1940 Population,1950 Population,1960 Population,1970 Population,1980 Population,1990 Population,2000 Population,2010 Population,1940 Housing Units,1950 Housing Units,1960 Housing Units,1970 Housing Units,1980 Housing Units,1990 Housing Units,2000 Housing Units,2010 Housing Units,1970 Occupied Housing Units,1980 Occupied Housing Units,1990 Occupied Housing Units,2000 Occupied Housing Units,2010 Occupied Housing Units,1970 Vacant Housing Units,1980 Vacant Housing Units,1990 Vacant Housing Units,2000 Vacant Housing Units,2010 Vacant Housing Units,1970 Households,1980 Households,1990 Households,2000 Households,2010 Households,1970 Group Quarters Population,1980 Group Quarters Population,1990 Group Quarters Population,2000 Group Quarters Population,2010 Group Quarters Population
Not,534.11,2743576,973451,18,33,84,124,328,757,3296,5215,5,10,26,35,97,239,975,1822,33,88,225,954,1783,2,9,14,20,39,33,88,225,954,1783,0,0,0,0,0
Not,534.13,2743581,981405,14,27,67,99,262,605,2635,4170,4,8,22,29,80,197,802,1500,28,73,185,786,1438,2,7,12,17,62,28,73,185,786,1438,0,0,0,0,0
Not,534.14,2744904,986703,11,21,53,78,207,477,2077,3286,4,8,21,28,78,192,784,1466,27,71,181,768,1371,2,7,11,16,95,27,71,181,768,1371,0,0,0,0,0
Not,534.15,2738276,986717,11,20,51,76,200,462,2012,3255,4,8,20,27,75,185,852,1520,26,68,174,770,1360,1,7,11,83,160,26,68,174,770,1360,0,0,0,0,0
Not,534.17,2738269,981396,13,25,63,93,245,566,2465,3988,3,7,18,24,67,166,762,1359,23,61,156,688,1318,1,6,10,74,41,23,61,156,688,1318,0,0,0,0,0
Not,534.18,2738278,973447,12,22,56,83,219,505,2200,3559,3,7,19,26,70,173,797,1422,24,64,163,720,1357,1,6,10,77,65,24,64,163,720,1357,0,0,0,0,0
Not,534.19,2733626,986714,4,8,20,29,78,167,632,1657,1,3,7,10,28,62,217,697,10,25,57,209,667,1,3,4,9,30,10,25,57,209,667,0,0,0,0,0
Not,534.21,2722368,986719,10,18,45,67,178,383,1450,3799,3,6,15,20,56,125,439,1408,19,51,116,422,1330,1,5,9,17,78,19,51,116,422,1330,0,0,0,0,0
Not,534.22,2728329,986717,6,11,27,40,105,225,853,2234,2,3,9,12,32,72,253,810,11,29,67,243,782,1,3,5,10,28,11,29,67,243,782,0,0,0,0,0
Not,534.23,2730912,981410,14,26,65,96,254,547,2069,5444,4,8,20,28,76,170,590,1547,26,69,158,552,1507,2,7,12,38,40,26,69,158,552,1507,0,0,0,0,0
Not,534.24,2727629,973495,9,18,44,66,174,374,1415,3721,3,6,16,22,61,137,475,1245,21,56,127,445,1134,1,6,10,30,111,21,56,127,445,1134,0,0,0,0,0
Not,535.02,2706875,986766,126,238,595,1145,2785,3712,3754,3567,38,78,201,329,908,1368,1376,1373,316,850,1313,1337,1245,13,58,55,39,128,316,850,1313,1337,1245,131,182,659,674,671
